"","Brand","Price..INR.","Mileage","Seating.Capacity","Vehicle.Type","Fuel.Type","Transmission","Parking.Sensor","Airbag","Cruise.Control","Keyless.Entry","Alloy.wheels","ABS","Climate.Control","Rear.AC.Vent","Power.Steering","cluster","name"
"458","Skoda",725923,15,5,"Sedan","Petrol","Manual","No","No","No","No","No","No","No","Yes","Yes",3,"Skoda Rapid 1.6 MPI Active Plus"
"459","Skoda",815325,15,5,"Sedan","Petrol","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Skoda Rapid Leisure 1.6 MPI MT"
"460","Skoda",816212,15,5,"Sedan","Petrol","Manual","No","Yes","No","No","No","Yes","No","Yes","Yes",3,"Skoda Rapid 1.6 MPI Ambition Plus"
"461","Skoda",831212,15,5,"Sedan","Petrol","Manual","No","Yes","No","No","Yes","Yes","No","Yes","Yes",3,"Skoda Rapid 1.6 MPI Ambition Plus Alloy"
"462","Skoda",845855,20.5,5,"Sedan","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",3,"Skoda Rapid 1.6 TDI Active Plus"
"463","Skoda",876513,15,5,"Sedan","Petrol","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Skoda Rapid 1.6 MPI Elegance"
"464","Skoda",915625,14.3,5,"Sedan","Petrol","Automatic","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Skoda Rapid Leisure 1.6 MPI AT"
"465","Skoda",916859,14.3,5,"Sedan","Petrol","Automatic","No","Yes","No","No","No","Yes","No","Yes","Yes",3,"Skoda Rapid 1.6 MPI AT Ambition Plus"
"466","Skoda",927341,20.5,5,"Sedan","Diesel","Manual","No","Yes","No","No","No","Yes","No","Yes","Yes",3,"Skoda Rapid 1.6 TDI Ambition Plus"
"467","Skoda",931859,14.3,5,"Sedan","Petrol","Automatic","No","Yes","No","No","Yes","Yes","No","Yes","Yes",3,"Skoda Rapid 1.6 MPI AT Ambition Plus Alloy"
"468","Skoda",942341,20.5,5,"Sedan","Diesel","Manual","No","Yes","No","No","Yes","Yes","No","Yes","Yes",3,"Skoda Rapid 1.6 TDI Ambition Plus Alloy"
"469","Skoda",942925,20.5,5,"Sedan","Diesel","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Skoda Rapid Leisure 1.6 TDI MT"
"470","Skoda",976127,14.3,5,"Sedan","Petrol","Automatic","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Skoda Rapid 1.6 MPI AT Elegance"
"471","Skoda",982206,20.5,5,"Sedan","Diesel","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Skoda Rapid 1.6 TDI Elegance"
"472","Maruti",731756,15.5,5,"Sedan","Petrol","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Maruti SX4 Vxi"
"473","Maruti",792168,21.4,5,"Sedan","CNG","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Maruti SX4 Green Vxi (CNG)"
"474","Maruti",816379,15.5,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Maruti SX4 ZXI MT"
"475","Maruti",832478,21.5,5,"Sedan","Diesel","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Maruti SX4 VDI"
"476","Maruti",874457,15.5,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Maruti SX4 ZXI MT Leather"
"477","Maruti",926689,21.5,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Maruti SX4 ZDI"
"478","Maruti",984807,21.5,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Maruti SX4 ZDI Leather"
"479","Volkswagen",732000,15.04,5,"Sedan","Petrol","Manual","No","No","No","No","No","No","No","Yes","Yes",3,"Volkswagen Vento Petrol Trendline"
"480","Volkswagen",789305,15.04,5,"Sedan","Petrol","Manual","No","No","No","No","Yes","No","Yes","Yes","Yes",3,"Volkswagen Vento Petrol Style Limited Edition"
"481","Volkswagen",789305,15.04,5,"Sedan","Petrol","Manual","No","No","No","No","No","No","Yes","Yes","Yes",3,"Volkswagen Vento Petrol Comfortline"
"482","Volkswagen",847000,20.54,5,"Sedan","Diesel","Manual","No","No","No","No","No","No","No","Yes","Yes",3,"Volkswagen Vento Diesel Trendline"
"483","Volkswagen",881305,15.04,5,"Sedan","Petrol","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Volkswagen Vento Petrol Highline"
"484","Volkswagen",904305,20.54,5,"Sedan","Diesel","Manual","No","No","No","No","Yes","No","Yes","Yes","Yes",3,"Volkswagen Vento Diesel Style Limited Edition"
"485","Volkswagen",914105,20.54,5,"Sedan","Diesel","Manual","No","No","No","No","No","No","Yes","Yes","Yes",3,"Volkswagen Vento Diesel Comfortline"
"486","Volkswagen",981305,14.4,5,"Sedan","Petrol","Automatic","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Volkswagen Vento Petrol Highline AT"
"487","Volkswagen",996305,20.54,5,"Sedan","Diesel","Manual","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes",3,"Volkswagen Vento Diesel Highline"
"488","Volkswagen",999000,16.93,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",3,"Volkswagen Vento TSI"
"489","Chevrolet",738354,12.2,10,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"Chevrolet Tavera Neo 3 10 Seats BSIII"
"490","Chevrolet",738446,12.2,10,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"Chevrolet Tavera Neo 3 10 Seats"
"491","Chevrolet",814194,12.2,10,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"Chevrolet Tavera Neo 3 Max 10 Seats"
"492","Chevrolet",824913,12.2,10,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"Chevrolet Tavera Neo 3 Max 10 Seats BSIII"
"493","Chevrolet",846173,12.2,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"Chevrolet Tavera Neo 3 Max 7 Seats"
"494","Chevrolet",856827,12.2,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","No",2,"Chevrolet Tavera Neo 3 Max 7 Seats BSIII"
"495","Chevrolet",890447,12.2,10,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Chevrolet Tavera Neo 3 LS 10 Seats"
"496","Chevrolet",901852,12.2,10,"MUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Chevrolet Tavera Neo 3 LS 10 Seats BSIII"
"497","Chevrolet",916157,12.2,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Chevrolet Tavera Neo 3 LS 7 Seats"
"498","Chevrolet",927181,12.2,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Chevrolet Tavera Neo 3 LS 7 C Seats"
"499","Chevrolet",927441,12.2,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Chevrolet Tavera Neo 3 LS 7 Seats BSIII"
"500","Chevrolet",938564,12.2,7,"SUV","Diesel","Manual","No","No","No","No","No","No","No","No","Yes",2,"Chevrolet Tavera Neo 3 LS 7 C BSIII"
"501","Chevrolet",1020750,12.2,9,"MUV","Diesel","Manual","No","No","No","Yes","Yes","No","No","Yes","Yes",2,"Chevrolet Tavera Neo 3 LT 9 Seats"
"502","Chevrolet",1032976,12.2,9,"MUV","Diesel","Manual","No","No","No","Yes","Yes","No","No","Yes","Yes",2,"Chevrolet Tavera Neo 3 LT 9 Seats BSIII"
"503","Chevrolet",1068013,14.8,8,"MUV","Diesel","Manual","No","No","No","Yes","Yes","No","No","Yes","Yes",2,"Chevrolet Tavera Neo 3 LT 8 Seats"
"504","Chevrolet",1077880,12.2,8,"MUV","Diesel","Manual","No","No","No","Yes","Yes","No","No","Yes","Yes",2,"Chevrolet Tavera Neo 3 LT 8 Seats BSIII"
"505","Chevrolet",1093589,12.2,7,"MUV","Diesel","Manual","No","No","No","Yes","Yes","No","No","Yes","Yes",2,"Chevrolet Tavera Neo 3 LT 7 C Seats"
"506","Chevrolet",1103815,12.2,7,"MUV","Diesel","Manual","No","No","No","Yes","Yes","No","No","Yes","Yes",2,"Chevrolet Tavera Neo 3 LT 7 C BSIII"
"507","Hyundai",740363,17.43,5,"Sedan","Petrol","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Verna Fluidic 1.4 VTVT"
"508","Hyundai",832514,17.01,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","No","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 VTVT EX"
"509","Hyundai",862206,23.5,5,"Sedan","Diesel","Manual","No","No","No","Yes","No","No","No","No","Yes",3,"Hyundai Verna Fluidic 1.4 CRDi"
"510","Hyundai",881919,17.01,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 SX VTVT"
"511","Hyundai",905208,17.01,5,"Sedan","Petrol","Automatic","No","Yes","No","Yes","No","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 VTVT EX AT"
"512","Hyundai",939828,23.5,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","No","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.4 EX"
"513","Hyundai",964258,17.1,5,"Sedan","Petrol","Manual","No","Yes","No","No","Yes","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 SX VTVT (O)"
"514","Hyundai",964853,22.32,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","No","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 CRDi EX"
"515","Hyundai",999900,22.32,5,"Sedan","Diesel","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 SX CRDi"
"516","Hyundai",1037183,22.32,5,"Sedan","Diesel","Automatic","No","Yes","No","Yes","No","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 CRDi EX AT"
"517","Hyundai",1037279,15.74,5,"Sedan","Petrol","Automatic","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 SX VTVT AT"
"518","Hyundai",1096308,22.32,5,"Sedan","Diesel","Manual","No","Yes","No","No","Yes","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic 1.6 SX CRDi (O)"
"519","Hyundai",1169354,19.08,5,"Sedan","Diesel","Automatic","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Hyundai Verna Fluidic SX CRDi AT"
"520","Renault",740800,16.95,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","No","Yes","No","No","Yes",3,"Renault Scala RxE"
"521","Renault",820100,16.95,5,"Sedan","Petrol","Manual","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes",3,"Renault Scala RxL"
